State,Style,beers,beer total for state,beer % overall by state,beer % of overall total,comparisong between state and overall %
MA,American Pale Lager,1,51,1.96%,1.14%,0.82%
MA,American White IPA,1,51,1.96%,0.43%,1.53%
MA,English India Pale Ale (IPA),1,51,1.96%,0.50%,1.46%
MA,English Pale Ale,1,51,1.96%,0.36%,1.60%
MA,German Pilsener,1,51,1.96%,1.21%,0.75%
MA,Herbed / Spiced Beer,1,51,1.96%,0.36%,1.60%
MA,Keller Bier / Zwickel Bier,1,51,1.96%,0.21%,1.75%
MA,Other,1,51,1.96%,0.07%,1.89%
MA,Radler,1,51,1.96%,0.21%,1.75%
MA,Rye Beer,1,51,1.96%,0.64%,1.32%
CA,American Brown Ale,2,135,1.48%,2.71%,-1.23%
CA,American Pale Lager,2,135,1.48%,1.14%,0.34%
CA,Czech Pilsener,2,135,1.48%,1.14%,0.34%
CA,Saison / Farmhouse Ale,2,135,1.48%,1.64%,-0.16%
CO,American Black Ale,2,146,1.37%,1.43%,-0.06%
CO,American Blonde Ale,2,146,1.37%,4.35%,-2.98%
CO,American Stout,2,146,1.37%,1.14%,0.23%
CO,American Wild Ale,2,146,1.37%,0.14%,1.23%
CO,Belgian Pale Ale,2,146,1.37%,0.57%,0.80%
CO,Extra Special / Strong Bitter (ESB),2,146,1.37%,1.00%,0.37%
CO,Saison / Farmhouse Ale,2,146,1.37%,1.64%,-0.27%
CO,Scotch Ale / Wee Heavy,2,146,1.37%,0.93%,0.44%
CO,Witbier,2,146,1.37%,1.71%,-0.34%
OR,American Adjunct Lager,1,87,1.15%,0.78%,0.37%
OR,American Black Ale,1,87,1.15%,1.43%,-0.28%
OR,American White IPA,1,87,1.15%,0.43%,0.72%
OR,Euro Dark Lager,1,87,1.15%,0.29%,0.86%
OR,Kölsch,1,87,1.15%,1.92%,-0.78%
OR,Witbier,1,87,1.15%,1.71%,-0.56%
TX,Altbier,1,88,1.14%,0.57%,0.57%
TX,American Adjunct Lager,1,88,1.14%,0.78%,0.35%
TX,American Black Ale,1,88,1.14%,1.43%,-0.29%
TX,American Double / Imperial Stout,1,88,1.14%,0.21%,0.92%
TX,American Pale Wheat Ale,1,88,1.14%,4.35%,-3.21%
TX,American Pilsner,1,88,1.14%,1.00%,0.14%
TX,American Porter,1,88,1.14%,2.78%,-1.64%
TX,American Stout,1,88,1.14%,1.14%,0.00%
TX,Baltic Porter,1,88,1.14%,0.21%,0.92%
TX,Berliner Weissbier,1,88,1.14%,0.36%,0.78%
TX,Bock,1,88,1.14%,0.21%,0.92%
TX,English Bitter,1,88,1.14%,0.21%,0.92%
TX,English Brown Ale,1,88,1.14%,0.71%,0.42%
TX,English India Pale Ale (IPA),1,88,1.14%,0.50%,0.64%
TX,Foreign / Export Stout,1,88,1.14%,0.21%,0.92%
TX,German Pilsener,1,88,1.14%,1.21%,-0.08%
TX,Gose,1,88,1.14%,0.50%,0.64%
TX,Keller Bier / Zwickel Bier,1,88,1.14%,0.21%,0.92%
TX,Light Lager,1,88,1.14%,0.21%,0.92%
TX,Maibock / Helles Bock,1,88,1.14%,0.14%,0.99%
TX,Märzen / Oktoberfest,1,88,1.14%,1.50%,-0.36%
TX,Munich Dunkel Lager,1,88,1.14%,0.21%,0.92%
TX,Munich Helles Lager,1,88,1.14%,0.86%,0.28%
TX,Old Ale,1,88,1.14%,0.07%,1.07%
TX,Smoked Beer,1,88,1.14%,0.07%,1.07%
IN,Altbier,1,91,1.10%,0.57%,0.53%
IN,American Brown Ale,1,91,1.10%,2.71%,-1.61%
IN,American Dark Wheat Ale,1,91,1.10%,0.36%,0.74%
IN,American Stout,1,91,1.10%,1.14%,-0.04%
IN,Belgian IPA,1,91,1.10%,0.21%,0.89%
IN,Belgian Pale Ale,1,91,1.10%,0.57%,0.53%
IN,California Common / Steam Beer,1,91,1.10%,0.14%,0.96%
IN,Cream Ale,1,91,1.10%,1.28%,-0.18%
IN,Dubbel,1,91,1.10%,0.14%,0.96%
IN,English Dark Mild Ale,1,91,1.10%,0.14%,0.96%
IN,English Stout,1,91,1.10%,0.07%,1.03%
IN,English Strong Ale,1,91,1.10%,0.21%,0.89%
IN,Euro Dark Lager,1,91,1.10%,0.29%,0.81%
IN,Extra Special / Strong Bitter (ESB),1,91,1.10%,1.00%,0.10%
IN,Flanders Oud Bruin,1,91,1.10%,0.07%,1.03%
IN,Irish Dry Stout,1,91,1.10%,0.21%,0.89%
IN,Irish Red Ale,1,91,1.10%,0.57%,0.53%
IN,Kölsch,1,91,1.10%,1.92%,-0.83%
IN,Oatmeal Stout,1,91,1.10%,0.78%,0.31%
IN,Quadrupel (Quad),1,91,1.10%,0.07%,1.03%
IN,Rye Beer,1,91,1.10%,0.64%,0.46%
CA,American Amber / Red Lager,1,135,0.74%,1.14%,-0.40%
CA,American Barleywine,1,135,0.74%,0.14%,0.60%
CA,American Double / Imperial Stout,1,135,0.74%,0.21%,0.53%
CA,American Porter,1,135,0.74%,2.78%,-2.04%
CA,American Stout,1,135,0.74%,1.14%,-0.40%
CA,Belgian Dark Ale,1,135,0.74%,0.21%,0.53%
CA,Belgian IPA,1,135,0.74%,0.21%,0.53%
CA,English Brown Ale,1,135,0.74%,0.71%,0.03%
CA,English Strong Ale,1,135,0.74%,0.21%,0.53%
CA,Gose,1,135,0.74%,0.50%,0.24%
CA,Herbed / Spiced Beer,1,135,0.74%,0.36%,0.38%
CA,Munich Helles Lager,1,135,0.74%,0.86%,-0.11%
CA,Scotch Ale / Wee Heavy,1,135,0.74%,0.93%,-0.19%
CA,Vienna Lager,1,135,0.74%,1.00%,-0.26%
CA,Wheat Ale,1,135,0.74%,0.07%,0.67%
CO,Altbier,1,146,0.68%,0.57%,0.11%
CO,American Brown Ale,1,146,0.68%,2.71%,-2.02%
CO,American Double / Imperial Stout,1,146,0.68%,0.21%,0.47%
CO,American Pilsner,1,146,0.68%,1.00%,-0.31%
CO,American White IPA,1,146,0.68%,0.43%,0.26%
CO,Belgian IPA,1,146,0.68%,0.21%,0.47%
CO,Belgian Strong Dark Ale,1,146,0.68%,0.07%,0.61%
CO,Belgian Strong Pale Ale,1,146,0.68%,0.14%,0.54%
CO,English Bitter,1,146,0.68%,0.21%,0.47%
CO,English India Pale Ale (IPA),1,146,0.68%,0.50%,0.19%
CO,Euro Dark Lager,1,146,0.68%,0.29%,0.40%
CO,Fruit / Vegetable Beer,1,146,0.68%,2.14%,-1.45%
CO,German Pilsener,1,146,0.68%,1.21%,-0.53%
CO,Hefeweizen,1,146,0.68%,1.92%,-1.24%
CO,Irish Red Ale,1,146,0.68%,0.57%,0.11%
CO,Märzen / Oktoberfest,1,146,0.68%,1.50%,-0.81%
CO,Munich Dunkel Lager,1,146,0.68%,0.21%,0.47%
CO,Munich Helles Lager,1,146,0.68%,0.86%,-0.17%
CO,Oatmeal Stout,1,146,0.68%,0.78%,-0.10%
CO,Roggenbier,1,146,0.68%,0.07%,0.61%
